"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 29, 2018","19.97","22.87","23.05","19.60","-","-12.68%"
"Mar 28, 2018","22.87","22.52","24.94","21.71","-","1.64%"
"Mar 27, 2018","22.50","20.33","24.06","19.84","-","6.99%"
"Mar 26, 2018","21.03","23.41","24.54","20.71","-","-15.44%"
"Mar 23, 2018","24.87","24.02","26.01","21.63","-","6.56%"
"Mar 22, 2018","23.34","18.13","23.81","18.12","-","30.68%"
"Mar 21, 2018","17.86","17.76","18.37","16.26","-","-1.87%"
"Mar 20, 2018","18.20","18.38","19.31","18.09","-","-4.31%"
"Mar 19, 2018","19.02","16.63","21.87","16.56","-","20.38%"
"Mar 16, 2018","15.80","16.60","16.72","15.23","-","-4.76%"
"Mar 15, 2018","16.59","16.99","17.41","15.96","-","-3.71%"
"Mar 14, 2018","17.23","16.59","17.59","14.94","-","5.38%"
"Mar 13, 2018","16.35","15.70","16.98","15.03","-","3.61%"
"Mar 12, 2018","15.78","15.28","16.35","15.18","-","7.79%"
"Mar 09, 2018","14.64","16.41","16.75","13.31","-","-11.49%"
"Mar 08, 2018","16.54","17.56","17.68","14.91","-","-6.87%"
"Mar 07, 2018","17.76","20.11","20.49","17.52","-","-3.27%"
"Mar 06, 2018","18.36","18.25","19.64","17.68","-","-1.98%"
"Mar 05, 2018","18.73","21.55","21.57","17.94","-","-4.39%"
"Mar 02, 2018","19.59","22.47","26.22","19.36","-","-12.82%"
"Mar 01, 2018","22.47","19.96","25.30","19.57","-","13.20%"
"Feb 28, 2018","19.85","18.08","20.44","15.65","-","6.78%"
"Feb 27, 2018","18.59","15.83","18.98","15.29","-","17.66%"
"Feb 26, 2018","15.80","16.53","16.94","15.80","-","-4.18%"
"Feb 23, 2018","16.49","17.96","18.80","16.47","-","-11.91%"
"Feb 22, 2018","18.72","20.57","20.61","18.07","-","-6.49%"
"Feb 21, 2018","20.02","20.76","21.04","16.97","-","-2.82%"
"Feb 20, 2018","20.60","20.53","21.61","19.75","-","5.86%"
"Feb 16, 2018","19.46","18.74","20.99","17.44","-","1.73%"
"Feb 15, 2018","19.13","18.39","20.66","17.60","-","-0.67%"
"Feb 14, 2018","19.26","23.48","25.72","18.99","-","-22.87%"
"Feb 13, 2018","24.97","26.94","27.82","24.47","-","-2.50%"
"Feb 12, 2018","25.61","27.25","29.70","24.42","-","-11.87%"
"Feb 09, 2018","29.06","32.18","41.06","27.73","-","-13.15%"
"Feb 08, 2018","33.46","27.29","36.17","24.41","-","20.66%"
"Feb 07, 2018","27.73","31.38","31.64","21.17","-","-7.51%"
"Feb 06, 2018","29.98","37.32","50.30","22.42","-","-19.67%"
"Feb 05, 2018","37.32","18.44","38.80","16.80","-","115.60%"
"Feb 02, 2018","17.31","13.64","17.86","13.64","-","28.51%"
"Feb 01, 2018","13.47","13.05","14.30","12.50","-","-0.52%"
"Jan 31, 2018","13.54","14.23","14.44","13.41","-","-8.45%"
"Jan 30, 2018","14.79","13.93","15.42","13.88","-","6.86%"
"Jan 29, 2018","13.84","11.71","13.84","11.68","-","24.91%"
"Jan 26, 2018","11.08","11.40","11.60","11.08","-","-4.32%"
"Jan 25, 2018","11.58","11.27","12.01","11.20","-","0.96%"
"Jan 24, 2018","11.47","11.00","12.19","10.89","-","3.33%"
"Jan 23, 2018","11.10","10.77","11.57","10.76","-","0.63%"
"Jan 22, 2018","11.03","11.59","11.62","10.84","-","-2.13%"
"Jan 19, 2018","11.27","12.30","12.33","11.17","-","-7.77%"
"Jan 18, 2018","12.22","12.01","12.40","11.62","-","2.60%"
"Jan 17, 2018","11.91","11.35","12.81","11.18","-","2.14%"
"Jan 16, 2018","11.66","10.42","12.41","10.40","-","14.76%"
"Jan 12, 2018","10.16","9.74","10.31","9.54","-","2.83%"
"Jan 11, 2018","9.88","9.69","10.02","9.62","-","0.61%"
"Jan 10, 2018","9.82","10.11","10.85","9.82","-","-2.58%"
"Jan 09, 2018","10.08","9.41","10.09","9.37","-","5.88%"
"Jan 08, 2018","9.52","9.61","9.89","9.32","-","3.25%"
"Jan 05, 2018","9.22","9.10","9.54","9.00","-","0.00%"
"Jan 04, 2018","9.22","9.01","9.31","8.92","-","0.77%"
"Jan 03, 2018","9.15","9.56","9.65","8.94","-","-6.35%"
"Jan 02, 2018","9.77","10.95","11.07","9.52","-","-11.50%"
"Dec 29, 2017","11.04","10.03","11.06","9.95","-","8.45%"
"Dec 28, 2017","10.18","10.29","10.44","10.07","-","-2.77%"
"Dec 27, 2017","10.47","10.04","10.79","9.71","-","2.15%"
"Dec 26, 2017","10.25","10.19","10.46","10.13","-","3.54%"
"Dec 22, 2017","9.90","9.37","10.18","9.35","-","2.91%"
"Dec 21, 2017","9.62","9.59","9.86","9.20","-","-1.03%"
"Dec 20, 2017","9.72","9.69","9.85","8.90","-","-3.09%"
"Dec 19, 2017","10.03","9.40","10.15","9.18","-","5.25%"
"Dec 18, 2017","9.53","9.46","9.89","9.24","-","1.17%"
"Dec 15, 2017","9.42","10.12","10.20","9.22","-","-10.20%"
"Dec 14, 2017","10.49","9.98","10.54","9.78","-","3.05%"
"Dec 13, 2017","10.18","9.78","10.21","9.65","-","2.62%"
"Dec 12, 2017","9.92","9.36","9.92","9.21","-","6.21%"
"Dec 11, 2017","9.34","9.74","10.08","9.28","-","-2.51%"
