"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2017","17.052","16.905","16.905","16.905","0.00K","0.17%"
"Nov 13, 2017","17.023","16.840","17.010","16.840","0.00K","0.72%"
"Nov 12, 2017","16.902","16.872","16.911","16.864","-","0.34%"
"Nov 10, 2017","16.844","17.000","17.000","17.000","0.00K","-0.58%"
"Nov 09, 2017","16.943","16.930","16.930","16.930","0.00K","-0.62%"
"Nov 08, 2017","17.049","16.995","17.246","16.971","-","0.85%"
"Nov 07, 2017","16.905","16.925","16.925","16.925","0.00K","-1.69%"
"Nov 06, 2017","17.195","17.205","17.225","17.205","0.01K","1.98%"
"Nov 05, 2017","16.861","16.851","16.869","16.816","-","0.40%"
"Nov 03, 2017","16.794","17.105","17.105","16.790","0.01K","-1.75%"
"Nov 02, 2017","17.094","17.065","17.065","17.060","0.02K","-0.22%"
"Nov 01, 2017","17.132","16.990","17.060","16.990","0.03K","2.93%"
"Oct 31, 2017","16.645","16.795","16.795","16.650","0.30K","-0.93%"
"Oct 30, 2017","16.802","16.715","16.845","16.715","0.12K","-0.21%"
"Oct 29, 2017","16.838","16.861","16.861","16.817","-","-0.24%"
"Oct 27, 2017","16.878","16.808","16.887","16.624","-","0.41%"
"Oct 26, 2017","16.809","16.993","17.052","16.765","-","-1.12%"
"Oct 25, 2017","17.000","16.927","17.057","16.835","-","0.55%"
"Oct 24, 2017","16.907","16.890","16.945","16.890","0.06K","-0.69%"
"Oct 23, 2017","17.024","16.920","16.920","16.870","0.02K","0.16%"
"Oct 22, 2017","16.996","17.044","17.044","16.979","-","-0.15%"
"Oct 20, 2017","17.022","17.170","17.170","16.990","0.02K","-1.04%"
"Oct 19, 2017","17.201","16.990","17.220","16.990","0.01K","1.09%"
"Oct 18, 2017","17.015","17.086","17.131","16.934","-","0.16%"
"Oct 17, 2017","16.987","17.000","17.010","17.000","0.06K","-1.89%"
"Oct 16, 2017","17.315","17.420","17.430","17.280","0.03K","-0.76%"
"Oct 15, 2017","17.447","17.421","17.449","17.403","-","0.53%"
"Oct 13, 2017","17.355","17.215","17.380","17.215","0.07K","0.84%"
"Oct 12, 2017","17.211","17.205","17.220","17.205","0.04K","0.76%"
"Oct 11, 2017","17.081","17.145","17.200","17.065","0.05K","-0.43%"
"Oct 10, 2017","17.155","16.935","17.165","16.925","0.03K","1.41%"
"Oct 09, 2017","16.916","16.865","16.930","16.865","0.00K","0.48%"
"Oct 08, 2017","16.835","16.817","16.862","16.812","-","0.60%"
"Oct 06, 2017","16.734","16.590","16.710","16.430","0.02K","0.92%"
"Oct 05, 2017","16.582","16.650","16.710","16.620","0.02K","0.11%"
"Oct 04, 2017","16.563","16.645","16.820","16.515","0.05K","-0.11%"
"Oct 03, 2017","16.581","16.530","16.585","16.530","0.04K","-0.02%"
"Oct 02, 2017","16.585","16.595","16.635","16.525","0.02K","-0.35%"
"Oct 01, 2017","16.644","16.660","16.670","16.621","-","0.22%"
"Sep 29, 2017","16.607","16.810","16.810","16.715","0.02K","-0.99%"
"Sep 28, 2017","16.773","16.750","16.830","16.655","0.18K","0.15%"
"Sep 27, 2017","16.748","16.700","16.815","16.695","0.04K","-0.33%"
"Sep 26, 2017","16.804","16.875","16.890","16.775","0.11K","-1.49%"
"Sep 25, 2017","17.059","16.850","17.090","16.810","0.17K","0.60%"
"Sep 24, 2017","16.957","17.033","17.033","16.931","-","0.32%"
"Sep 22, 2017","16.903","16.985","16.985","16.905","0.09K","-0.20%"
"Sep 21, 2017","16.937","16.895","16.920","16.800","0.21K","-1.82%"
"Sep 20, 2017","17.251","17.255","17.340","17.010","0.09K","0.33%"
"Sep 19, 2017","17.195","17.135","17.240","17.115","0.16K","0.73%"
"Sep 18, 2017","17.071","17.490","17.520","17.030","0.21K","-3.02%"
"Sep 17, 2017","17.602","17.663","17.663","17.590","-","-0.05%"
"Sep 15, 2017","17.611","17.760","17.800","17.550","0.24K","-0.49%"
"Sep 14, 2017","17.698","17.650","17.760","17.580","0.28K","-0.42%"
"Sep 13, 2017","17.772","17.860","17.910","17.635","0.43K","-0.13%"
"Sep 12, 2017","17.795","17.780","17.870","17.705","0.36K","-0.07%"
"Sep 11, 2017","17.807","17.890","17.890","17.695","0.40K","-0.69%"
"Sep 10, 2017","17.930","17.859","17.953","17.828","-","-0.54%"
"Sep 08, 2017","18.027","18.090","18.160","17.915","0.36K","0.06%"
"Sep 07, 2017","18.016","17.840","18.105","17.795","0.81K","1.12%"
"Sep 06, 2017","17.816","17.915","17.970","17.800","0.31K","-0.16%"
"Sep 05, 2017","17.845","17.780","17.980","17.775","0.95K","-0.39%"
"Sep 04, 2017","17.914","17.929","18.025","17.865","-","-0.11%"
"Sep 03, 2017","17.934","17.895","17.957","17.873","-","1.21%"
"Sep 01, 2017","17.719","17.565","17.720","17.445","0.54K","1.37%"
"Aug 31, 2017","17.480","17.420","17.600","17.255","1.47K","0.44%"
"Aug 30, 2017","17.404","17.390","17.460","17.285","21.20K","-0.13%"
"Aug 29, 2017","17.426","17.540","17.665","17.255","115.11K","-0.09%"
"Aug 28, 2017","17.441","17.055","17.480","17.020","99.64K","2.34%"
"Aug 27, 2017","17.042","17.069","17.216","17.040","-","-0.04%"
"Aug 25, 2017","17.049","16.955","17.180","16.715","117.11K","0.57%"
"Aug 24, 2017","16.952","17.055","17.060","17.055","0.05K","-0.55%"
"Aug 23, 2017","17.046","16.980","17.105","16.910","80.19K","0.38%"
"Aug 22, 2017","16.982","17.005","17.115","16.870","88.51K","-0.19%"
"Aug 21, 2017","17.015","16.935","17.120","16.830","90.12K","0.70%"
"Aug 20, 2017","16.896","16.939","16.944","16.829","-","-0.61%"
"Aug 18, 2017","17.000","17.035","17.320","16.850","113.50K","-0.18%"
"Aug 17, 2017","17.030","17.130","17.130","16.990","0.06K","0.67%"
"Aug 16, 2017","16.917","16.695","17.065","16.695","0.03K","1.21%"
"Aug 15, 2017","16.714","17.060","17.065","16.560","98.50K","-2.22%"
"Aug 14, 2017","17.093","17.055","17.115","16.990","0.06K","0.10%"
"Aug 13, 2017","17.076","17.104","17.110","17.064","-","0.21%"
"Aug 11, 2017","17.041","17.095","17.105","17.020","0.05K","0.03%"
"Aug 10, 2017","17.036","16.945","17.210","16.945","0.17K","1.20%"
"Aug 09, 2017","16.834","16.505","16.850","16.475","0.09K","2.90%"
"Aug 08, 2017","16.360","16.365","16.420","16.340","0.04K","0.86%"
"Aug 07, 2017","16.221","16.200","16.235","16.090","0.00K","-0.02%"
"Aug 06, 2017","16.225","16.267","16.267","16.225","-","0.02%"
"Aug 04, 2017","16.222","16.265","16.265","16.205","0.00K","-2.45%"
"Aug 03, 2017","16.630","16.570","16.680","16.420","57.97K","-0.62%"
"Aug 02, 2017","16.733","16.695","16.960","16.455","77.87K","0.03%"
"Aug 01, 2017","16.728","16.635","16.785","16.635","0.04K","-0.13%"
"Jul 31, 2017","16.750","16.735","16.825","16.730","0.28K","-0.14%"
"Jul 30, 2017","16.773","16.757","16.787","16.752","-","0.65%"
"Jul 28, 2017","16.664","16.495","16.690","16.490","0.08K","0.82%"
"Jul 27, 2017","16.529","16.625","16.650","16.625","0.01K","0.69%"
"Jul 26, 2017","16.415","16.400","16.610","16.365","0.10K","-0.50%"
